id,item_name,carry_on_allowed,checked_baggage_allowed,notes,item_name_EN,notes_EN,source
11,유아식,예,예,유아식은 기내 수하물로 합리적인 양까지 허용됩니다. 기내 수하물에서 이 물품을 꺼내 다른 소지품과 별도로 스크리닝하십시오. 더 많은 정보를 얻으려면 어린이들과 함께 여행하는 것에 대해 확인해보세요.,Baby Food,Baby food is allowed in reasonable quantities in carry-on bags. Remove these items from your carry-on bag to be screened separately from the rest of your belongings.?Please seetraveling with childrenfor more information.,TSA
12,분유,예 (특별 지침),예,"분유, 모유, 유아 음료 및 아기/유아 음식(퓨레 파우치 포함)은 100ml를 초과하는 양이라도 기내 수하물로 허용되며, 1L 용량의 가방 안에 맞지 않아도 됩니다. 이들은 의학적으로 필요한 액체로 간주됩니다. 이는 모유 팩, 냉동 팩 및 젤 팩과 같은 모유 및 분유 냉각 액세서리에도 적용됩니다. 자녀나 유아가 동반하지 않아도 모유, 분유 및 관련 용품을 가져올 수 있습니다.",Baby Formula,"Formula, breast milk, toddler drinks, and baby/toddler food (to include puree pouches) in quantities greater than 3.4 ounces or 100 milliliters are allowed in carry-on baggage and do not need to fit within a quart-sized bag. Formula, breast milk, toddler drinks, and baby/toddler food (to include puree pouches) are considered medically necessary liquids. This also applies to breast milk and formula cooling accessories, such as ice packs, freezer packs, and gel packs (regardless of presence of breast milk). Your child or infant does not need to be present or traveling with you to bring breast milk, formula and/or related supplies.",TSA
13,베이비 파우더,예,예,"350ml가 넘는 분말류는 엑스레이 검사를 위해 별도의 통에 담아야 합니다. 추가 선별 검사가 필요할 수 있으며, 용기를 열어야 할 수도 있습니다. 편의를 위해 350ml가 넘는 필수 분말은 위탁 수하물에 넣는 것을 권장합니다.",Baby Powder,"Powder-like substances greater than 12 oz. / 350 mL must be placed in a separate bin for X-ray screening. They may require additional screening and containers may need to be opened. For your convenience, we encourage you to place non-essential powders greater than 12 oz. in checked bags.",TSA
14,아기 물티슈,예,예,NULL,Baby Wipes,NULL,TSA
15,(불지 않은) 풍선,예,예,NULL,Balloons (not inflated),NULL,TSA
16,딱총,아니요,아니요,NULL,Bang Snaps,NULL,TSA
17,야구 방망이,아니요,예,"비행기 기내에서는 몽둥이(예: 야구 방망이, 곤봉)로 사용될 수 있는 스포츠 장비는 금지되어 있으며 위탁 수하물로 운송해야 합니다.",Baseball Bats,Sports equipment that can be used as a bludgeon (such as bats and clubs) is prohibited in the cabin of the plane and must be transported in your checked baggage.,TSA
18,농구공/야구공/미식축구공/축구공,예,예,NULL,Basketballs/Baseballs/Footballs/Soccer Balls,NULL,TSA
19,배터리 작동 휠체어 및 이동 보조기기,아니요,예 (특별 지침),"유출 가능한 배터리는 휠체어와 이동성 장치에서 허용되며, 이동성 장치에 단단히 부착되어 배터리 하우징이 손상으로부터 보호되면 배터리가 설치될 수 있으며, 터미널은 단락으로부터 보호되고 항공기에 적재될 때 배터리는 똑바로 위치합니다.",Battery powered wheel chairs and mobility devices,"Spillable batteries are allowed in wheelchairs and mobility devices, where the battery may remain installed if it is securely attached to the mobility device and the battery housing provides protection from damage, the terminals are protected from short circuit, and the battery remains in an upright position when stowed on the aircraft. SeeFAA regulations",TSA
20,BB 총,아니요,예 (특별 지침),항공사에 위탁 수하물에 총기 반입이 허용되는지 확인하십시오. 총기와 함께 여행하기 위한 지침을 읽으십시오.,BB Guns,Check with your airline to see if they allow firearms in checked bags.Read the guidelinesfor traveling with firearms.,TSA
21,곰 퇴치용 폭죽,아니요,아니요,NULL,Bear Bangers,NULL,TSA
22,곰 스프레이,아니요,아니요,NULL,Bear spray,NULL,TSA
23,"벨트, 옷 및 신발",예,예,가방을 깔끔한 층으로 포장하면 담당관이 가방을 명확하게 살펴보고 추가 심사 필요성을 줄이는 데 도움이 됩니다.,"Belts, Clothes and Shoes","To help TSA officers get a clear look at your bag and reduce the need for additional screening, we suggest you pack your bag in neat layers.",TSA
24,자전거 사슬,예,예,NULL,Bicycle Chains,NULL,TSA
25,자전거 펌프,예,예,NULL,Bicycle Pumps,NULL,TSA
26,자전거,항공사로 확인하십시오,항공사로 확인하십시오,NULL,Bicycles,NULL,TSA
27,빌리 클럽,아니요,예,NULL,Billy Clubs,NULL,TSA
28,쌍안경,예,예,NULL,Binoculars,NULL,TSA
29,방부 처리된 비감염성 생물 표본,예 (특별 지침),예 (특별 지침),"위탁 수하물의 방부제 용액에는 제한이 있습니다. 각각의 내부 포장에서 30ml 이하의 액체 용액을 담을 수 있고, 전체 외부 포장에서는 1L를 초과할 수 없습니다.","Biological specimens, non-infectious, in preservative solutions",The FAA has limits on preservative solution in checked baggage. No more than 30 ml of free liquid solution in each inner packaging and no more than one liter in the entire outer package. SeeFAA Regulationsfor more information.,TSA
30,블랙잭 (호신용 무기),아니요,예,NULL,Black Jacks (Self-Defense Weapons),NULL,TSA
31,담요,예,예,NULL,Blankets,NULL,TSA
32,블라스팅 캡,아니요,아니요,NULL,Blasting Caps,NULL,TSA
33,블렌더,예 (특별 지침),예,칼날이 제거된 경우 블렌더는 기내 반입이 가능합니다.,Blender,Blenders are allowed in carry-on bags if the blade has been removed.,TSA
34,혈당 테스트 키트,예,예,"담당자에게 당뇨병이 있고 소모품을 가지고 다니고 있음을 알리십시오. 인슐린 펌프 및 관련 용품은 인슐린과 함께 휴대해야 하며, 어떤 형태의 또는 디스펜서의 인슐린을 명확하게 확인할 수 있는 서류가 있어야 합니다.",Blood Sugar Test Kit,"Please notify the TSA officer that you have diabetes and are carrying your supplies with you. Insulin pumps and supplies must be accompanied by insulin, and insulin in any form or dispenser must be clearly identified.",TSA
35,바비 핀,예,예,NULL,Bobby Pins,NULL,TSA
36,보체공,예,예,NULL,Bocce Balls,NULL,TSA
37,방탄복,예,예,일반적으로 방탄복은 기내 또는 위탁 수하물로 허용됩니다. 그러나 품목이 일반적으로 허용되더라도 보안 담당관은 물품이 보안 검색대를 통과하도록 허용할지에 대한 최종 결정을 내립니다.,Body Armor,"Generally, body armor is allowed in carry-on or checked bags. Please note however that even if an item is generally allowed, our officers make the final decision on whether an item is allowed through the checkpoint.",TSA
38,서적,예,예,책은 종종 추가 심사가 필요합니다. 보안 담당관은 물리적 검사를 위해 기내 수하물에서 꺼내달라고 요청할 수 있습니다.,Books,Books often require additional screening. The TSA officer may ask you to remove them from your carrying case to conduct a physical inspection.,TSA
39,병 오프너,예,예,NULL,Bottle Opener,NULL,TSA
40,생수,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Bottled Water,NULL,TSA
41,볼링 볼,아니요,예,"비행기 기내에서는 몽둥이(예: 야구방망이, 곤봉 등)로 사용될 수 있는 스포츠 장비가 금지되어 있으며 위탁 수하물로 운송해야 합니다.",Bowling Balls,Sports equipment that can be used as a bludgeon (such as bats and clubs) is prohibited in the cabin of the plane and must be transported in your checked bags.,TSA
42,볼링 핀,아니요,예,"비행기 기내에서는 몽둥이(예: 야구 방망이, 곤봉 등)로 사용될 수 있는 스포츠 장비가 금지되어 있으며 위탁 수하물로 운송해야 합니다.",Bowling Pins,Sports equipment that can be used as a bludgeon (such as bats and clubs) is prohibited in the cabin of the plane and must be transported in your checked baggage.,TSA
43,활과 화살,아니요,예,NULL,Bows and Arrows,NULL,TSA
44,박스 커터,아니요,예,수하물 처리 및 검사원의 부상을 방지하기 위해 위탁 수하물에 있는 날카로운 물품은 덮개를 씌우거나 단단하게 포장해야 합니다. 이 물품은 칼날 유무에 관계없이 위탁 수하물에 넣어야 합니다.,Box Cutters,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors. These?items are required to be placed in checked bags with or without blades.,TSA
45,복싱 장갑,예,예,NULL,Boxing Gloves,NULL,TSA
46,황동 악기,항공사로 확인하십시오,예,NULL,Brass Instruments,NULL,TSA
47,손가락 너클 / 너클형 무기,아니요,예,이 물품은 위탁 수하물에 넣을 수 있지만 일부 주에서는 여전히 불법입니다. 가방을 열어야 하고 가방에 불법 물품이 있으면 현지 법 집행기관에 신고할 수 있습니다.,Brass Knuckles,"Although these items can be placed in your checked baggage, they are still illegal in some states. Should the bag need to be opened for some reason and there is an illegal item in the bag, TSA will be required to report it to local law enforcement.",TSA
48,빵,예,예,"고체 식품(액체 또는 젤이 아닌)은 기내 또는 위탁 수하물로 운반할 수 있습니다. 100ml보다 큰 액체 또는 젤 형태의 식품은 기내 수하물에 허용되지 않으며, 가능한 경우 위탁 수하물에 넣어야 합니다.",Bread,Solid food items (not liquids or gels) can be transported in either your carry-on or checked bags. Liquid or gel food items larger than 3.4 oz are not allowed in carry-on bags and should be placed in your checked bags if possible.,TSA
49,제빵기,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,Bread Machine,"You may transport this item in carry-on or checked bags. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
50,모유,예 (특별 지침),예,"분유, 모유, 유아 음료 및 아기/유아 음식(퓨레 파우치 포함)은 100ml를 초과하는 양이라도 기내 수하물로 허용되며, 지퍼백 안에 넣지 않아도 됩니다. 이들은 의학적으로 필요한 액체로 간주됩니다. 이는 모유 팩, 냉동 팩 및 젤 팩과 같은 모유 및 분유 냉각 액세서리에도 적용됩니다. 자녀나 유아가 동반하지 않아도 모유, 분유 및 관련 용품을 가져올 수 있습니다.",Breast Milk,"Formula, breast milk, toddler drinks, and baby/toddler food (to include puree pouches) in quantities greater than 3.4 ounces or 100 milliliters are allowed in carry-on baggage and do not need to fit within a quart-sized bag. Formula, breast milk, toddler drinks, and baby/toddler food (to include puree pouches) are considered medically necessary liquids. This also applies to breast milk and formula cooling accessories, such as ice packs, freezer packs, and gel packs (regardless of presence of breast milk). Your child or infant does not need to be present or traveling with you to bring breast milk, formula and/or related supplies.",TSA
51,유축기,예,예,NULL,Breast Pump,NULL,TSA
52,벌레 퇴치제 / 모기약,예 (3.4oz/100 ml 이상 또는 동일),예 (특별 지침),위탁 수하물에 에어로졸을 포함한 의약품 및 화장품의 총량을 제한합니다. 1인당 총량은 2kg 또는 2L를 초과할 수 없습니다. 각 용기의 용량은 0.5kg 또는 500ml를 초과해서는 안 됩니다. 피부에 바르는 벌레 퇴치제만 허용됩니다. 공기 또는 곤충에 뿌리도록 설계된 살충제는 기내 또는 위탁 수하물로 허용되지 않습니다.,Bug Repellent,"The FAA limits the total amount of restricted medicinal and toiletry articles, including aerosols, in checked baggage. The total aggregate quantity per person cannot exceed 2 kg (70 ounces) or 2 L (68 fluid ounces). The capacity of each container must not exceed 0.5 kg (18 ounces) or 500 ml (17 fluid ounces). See theFAA regulationsfor more information. Note that only bug repellants to be applied to the skin are accepted.? Insect repellents or insecticides designed to be sprayed in the air or at the insect are not permitted in either carry on or checked baggage.",TSA
53,부탄,아니요,아니요,NULL,Butane,NULL,TSA
54,부탄식 무선 고데기,예 (특별 지침),아니요,가스 카트리지와 부탄 연료가 포함된 무선 고데기는 기내 반입만 허용됩니다.,Butane Curling Irons (cordless),Cordless curling irons containing a gas cartridge and butane fueled curling irons are allowed in carry-on bags only.,TSA
55,카메라 일각대,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,Camera Monopod,"You may transport this item in carry-on or checked bags. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
56,캠프 스토브,예 (특별 지침),예 (특별 지침),캠프 스토브는 모든 연료가 비어 있고 연료 증기나 잔여물이 남지 않도록 청소된 경우에만 기내 또는 위탁 수하물로 허용됩니다. 보안 담당자가 물품을 명확하게 볼 수 있도록 코드와 층 물품을 가방으로 감싸십시오.,Camp stoves,Camp stoves are allowed?in carry-on or checked bags only if they are empty of all fuel and cleaned so that no fuel vapors or residue remain. Please wrap cords and layer items in bags so officers can get a clear view of the items.,TSA
57,사탕,예,예,"고체 식품(액체 또는 젤이 아닌)은 기내 또는 위탁 수하물로 운반할 수 있습니다. 100ml보다 큰 액체 또는 젤 형태의 식품은 기내 수하물에 허용되지 않으며, 가능한 경우 위탁 수하물에 넣어야 합니다.",Candy,Solid food items (not liquids or gels) can be transported in either your carry-on or checked bags. Liquid or gel food items larger than 3.4 oz are not allowed in carry-on bags and should be placed in your checked bags if possible.,TSA
58,통조림 음식,예 (특별 지침),예,"금지 물품 목록에는 없지만, 엑스레이나 보안 문제 또는 액체, 젤 및 에어로졸에 대한 3-1-1 규칙의 영향으로 인해 추가 스크리닝이 필요할 수 있으므로 물품이 보안 검색대를 통과하지 못할 수 있습니다. 이 물품을 위탁 수하물에 포장하거나, 목적지로 배송하거나, 집에 두고 가는 것이 좋습니다.",Canned Foods,"There are some items that are not on the prohibited items list, but because of how they appear on the X-ray, security concerns, or impact of the 3-1-1 rules for liquids, gels and aerosols, they could require additional screening that might result in the item not being allowed through the checkpoint. We suggest that you pack this item in your checked bag, ship it to your destination or leave it at home.",TSA
59,카누/카약 패들,아니요,예,NULL,Canoe/Kayak Paddles,NULL,TSA
60,캡 총,아니요,예,NULL,Cap Guns,NULL,TSA
61,자동차 부품,예 (특별 지침),예 (특별 지침),자동차 엔진 부품 및 연료 흔적이 없는 기타 자동차 부품은 기내 또는 위탁 수하물로 허용됩니다. 자동차 엔진 부품은 부품이 원래 상자에 포장되어 있고 휘발유와 오일이 없는 경우에만 위탁 수하물에 넣을 수 있습니다.,Car Parts,Car engine parts and other car parts without fuel or traces of fuel are allowed in carry-on or checked bags. Car engine parts may be placed in checked bags only if the parts are packed in their original box and free of gasoline and oil.,TSA
62,주철 조리기구,아니요,예,NULL,Cast Iron Cookware,NULL,TSA
63,깁스,예,예,NULL,Casts,NULL,TSA
64,가축 몰이봉,아니요,예,NULL,Cattle Prods,NULL,TSA
65,휴대폰,예,예,NULL,Cell Phones,NULL,TSA
66,시리얼,예,예,NULL,Cereal,NULL,TSA
67,립밤,예,예,NULL,Chapsticks,NULL,TSA
68,크림치즈,예 (3.4oz/100 ml 이상 또는 동일),예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 막을 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 깔끔하게 유지하도록 권장됩니다.",Cheese (Creamy),"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
69,경질 치즈,예,예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 막을 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 깔끔하게 유지하도록 권장됩니다.",Cheese (Solid),"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
70,어린이 카시트,예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,Child Car Seat,"You may transport this item in carry-on or checked bags. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
71,수영장 및 스파용 염소,아니요,아니요,NULL,Chlorine for Pools and Spas,NULL,TSA
72,초콜릿 (액체),예 (3.4oz/100 ml 이상 또는 동일),예,"고체 식품(액체 또는 젤이 아닌)은 기내 또는 위탁 수하물로 운반할 수 있습니다. 100ml보다 큰 액체 또는 젤 형태의 식품은 기내 수하물에 허용되지 않으며, 가능한 경우 위탁 수하물에 넣어야 합니다.",Chocolate (liquid),Solid food items (not liquids or gels) can be transported in either your carry-on or checked bags. Liquid or gel food items larger than 3.4 oz are not allowed in carry-on bags and should be placed in your checked bags if possible.,TSA
73,고체 초콜릿,예,예,"고체 식품(액체 또는 젤이 아닌)은 기내 또는 위탁 수하물로 운반할 수 있습니다. 100ml보다 큰 액체 또는 젤 형태의 식품은 기내 수하물에 허용되지 않으며, 가능한 경우 위탁 수하물에 넣어야 합니다.",Chocolate (Solid),Solid food items (not liquids or gels) can be transported in either your carry-on or checked bags. Liquid or gel food items larger than 3.4 oz are not allowed in carry-on bags and should be placed in your checked bags if possible.,TSA
74,젓가락,예,예,NULL,Chopsticks,NULL,TSA
75,크리스마스 조명,예,예,NULL,Christmas Lights,NULL,TSA
76,시가 절단기,예 (특별 지침),예,"시가 절단기는 일반적으로 허용되지만, 위탁 수하물에 포장하는 것이 좋습니다. 보안 담당관은 보안 위협을 제기한다고 생각하는 경우 보안 검색대를 통해 물품을 금지할 재량권이 있습니다.",Cigar Cutters,"While cigar cutters are generally permitted, we recommend that you pack them in your checked baggage. TSA officers have the discretion to prohibit any item through the screening checkpoint if they believe it poses a security threat.",TSA
77,담배,예,예,"일반 담배는 기내 및 위탁 수하물 모두 허용됩니다. 다만, 도착 국가의 세관 규정에 따라 반입 가능한 수량(보통 1보루)이 제한되거나 반입이 금지될 수 있으므로, 반드시 사전 확인이 필요합니다.",Cigarettes,"일반 담배는 기내 및 위탁 수하물 모두 허용됩니다. 다만, 도착 국가의 세관 규정에 따라 반입 가능한 수량(보통 1보루)이 제한되거나 반입이 금지될 수 있으므로, 반드시 사전 확인이 필요합니다.",yolo
78,시가,예,예,NULL,Cigars,NULL,TSA
79,시계,예,예,NULL,Clock,NULL,TSA
80,CO2 카트리지,아니요,아니요,개인 의료 산소 실린더를 제외하고는 비행기에 빈 압축 가스 실린더만 가지고 다닐 수 있습니다. 허용되려면(기내 또는 위탁 수하물) 실린더가 비어 있다는 것이 보안 담당관에게 명확하게 보여야 합니다.,CO2 Cartridge,"Except for personal medical oxygen cylinders, you can only carry an EMPTY compressed gas cylinder onboard a plane. To be permitted (in either carry-on or checked baggage), it must be clearly visible to the TSA officer that the cylinder is empty.",TSA
81,구명 조끼용 CO2 카트리지,예 (특별 지침),예 (특별 지침),내부에 최대 2개의 CO2 카트리지가 있는 구명 조끼와 기내 또는 위탁 수하물에 2개의 여분의 카트리지를 가져올 수 있습니다.,CO2 Cartridge for Life Vest,"You may bring a life vest with up to two CO2cartridges inside, plus two spare cartridges in your carry-on or checked bag.",TSA
82,옷걸이,예,예,NULL,Coat Hangers,NULL,TSA
83,커피 (원두 또는 분쇄),예,예,"보안 담당관은 엑스레이 기계의 명확한 이미지를 방해할 수 있는 식품, 분말 등 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 깔끔하게 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 유지하는 것이 좋습니다.",Coffee (Beans or Ground),"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
84,커피 (액체),예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Coffee (Liquid),NULL,TSA
85,빈 커피 보온병,예,예,보안 검색대를 통해 빈 음료 용기를 가져와 나중에 채울 수 있습니다.,Coffee Thermos (empty),You may take empty drink containers through the checkpoint and fill them afterward.,TSA
86,커피/에스프레소 머신,예,예,"전자 제품 물품을 조심스럽게 포장하고 모든 코드가 포장되어 있는지 확인하십시오. 위탁 또는 기내 수하물에 비싸고 깨지기 쉬운 전자 제품을 포장할 수는 있지만, 기내 수하물에 포장하는 것이 좋습니다.",Coffee/Espresso Maker,"Please carefully pack your electronics items and make sure all cords are wrapped. While you can pack expensive, fragile electronics items in checked or carry-on bags, we recommend packing them in your carry-on.",TSA
87,만화책,예,예,책은 종종 추가 심사가 필요합니다. 보안 담당관은 물리적 검사를 위해 기내 수하물에서 꺼내달라고 요청할 수 있습니다.,Comic Books,Books often require additional screening. The TSA officer may ask you to remove them from your carrying case to conduct a physical inspection.,TSA
88,압축 공기 총,아니요,예 (특별 지침),페인트볼 마커를 포함한 압축 공기 실린더는 부착되지 않은 상태로 위탁 수하물로 운반할 수 있습니다.,Compressed Air Guns,"Including paintball markers, may be carried in checked baggage without compressed air cylinder attached.",TSA
89,컨실러,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Concealer,NULL,TSA
90,컨디셔너,예 (3.4oz/100 ml 이상 또는 동일),예,NULL,Conditioner,NULL,TSA
91,콘택트렌즈 세정액,예,예,"여행에 필요한 합리적인 양의 의학적으로 필요한 액체, 젤 및 에어로졸은 허용되지만, 보안 검색대에서 보안 담당관에게 미리 알려야 합니다. 보안 검색 중 특정 화학 물질에 대해 양성 반응을 보이는 대형 의료용 액체는 보안 검색대를 통과하지 못할 수 있습니다. 일부 콘택트렌즈 용액에는 일반적으로 경보가 울리고 보안 검색대를 통과하지 못할 수 있는 화학 물질이 포함되어 있습니다. 100ml를 초과하는 콘택트렌즈 용액은 위탁 수하물에 넣는 것이 좋습니다.",Contact Lens Solution,"TSA allows larger amounts of medically necessary liquids, gels, and aerosols in reasonable quantities for your trip, but you must declare them to security officers at the checkpoint for inspection. Any oversized medically-necessary liquids that alarm during screening, testing positive for certain chemicals, may not be allowed through the screening checkpoint. Some contact lens solutions contain chemicals that typically alarm and may not permitted through the checkpoint. We recommend placing contact lens solutions over 3.4 ounces in your checked baggage.",TSA
92,콘택트 렌즈,예,예,"여행에 필요한 합리적인 양의 의학적으로 필요한 액체, 젤 및 에어로졸은 허용되지만, 보안 검색대에서 보안 담당관에게 미리 알려야 합니다. 보안 검색 중 특정 화학 물질에 대해 양성 반응을 보이는 대형 의료용 액체는 보안 검색대를 통과하지 못할 수 있습니다. 일부 콘택트렌즈 용액에는 일반적으로 경보가 울리고 보안 검색대를 통과하지 못할 수 있는 화학 물질이 포함되어 있습니다. 100ml를 초과하는 콘택트렌즈 용액은 위탁 수하물에 넣는 것이 좋습니다.",Contact Lenses,"TSA allows larger amounts of medically necessary liquids, gels, and aerosols in reasonable quantities for your trip, but you must declare them to security officers at the checkpoint for inspection. Any oversized medically-necessary liquids that alarm during screening, testing positive for certain chemicals, may not be allowed through the screening checkpoint. Some contact lens solutions contain chemicals that typically alarm and may not be permitted through the checkpoint. We recommend placing contact lens solutions over 3.4 ounces in your checked baggage.",TSA
93,"액체 없는 조리된 고기, 해산물 및 야채",예,예,이 물품은 기내 또는 위탁 수하물로 운송할 수 있습니다. 물품이 오버헤드 짐칸이나 비행기 좌석 아래에 맞는지 항공사에 확인해야 합니다.,"Cooked Meat, Seafood and Vegetable (No Liquid)","You may transport this item in carry-on or checked bags. For items you wish to carry on, you should check with the airline to ensure that the item will fit in the overhead bin or underneath the seat of the airplane.",TSA
94,쿠키,예,예,"보안 담당관은 여행자에게 식품, 분말 및 엑스레이 기계의 명확한 이미지를 막을 수 있는 재료와 같은 물품을 기내 수하물에서 분리하도록 지시할 수 있습니다. 여행자들은 기내 수하물을 깔끔하게 정리하고 스크리닝 과정을 원활하게 하고 줄이 계속 움직일 수 있도록 유지하는 것이 좋습니다.",Cookies,"TSA officers may instruct travelers to separate items from carry-on bags such as foods, powders, and any materials that can clutter bags and obstruct clear images on the X-ray machine. Travelers are encouraged to organize their carry-on bags and keep them uncluttered to ease the screening process and keep the lines moving.",TSA
95,요리 스프레이,아니요,아니요,NULL,Cooking spray,NULL,TSA
96,빈 아이스박스,예,예,NULL,Cooler (empty),NULL,TSA
97,나이프 포함 와인 오프너,아니요,예,수하물 처리 및 검사원의 부상을 방지하기 위해 위탁 수하물에 있는 날카로운 물품은 덮개를 씌우거나 단단하게 포장해야 합니다.,Corkscrews (with blade),Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,TSA
98,나이프 없는 와인 오프너,예,예,NULL,Corkscrews (with no blade),NULL,TSA
99,카우보이 박차,예,예,NULL,Cowboy Spurs,NULL,TSA
