location_id,table_title,table_title_ko,category,category_ko,budget,mid_range,luxury
9,Cordoba on a Budget,코르도바의 예산,Alcohol,주류,2 - 5,4 - 12,8 - 25
10,El Calafate on a Budget,카페이트의 예산,Accommodation,숙박,18,41,79
10,El Calafate on a Budget,카페이트의 예산,Local Transportation,지역 교통,2,5,10
10,El Calafate on a Budget,카페이트의 예산,Food,음식,3,7,15
10,El Calafate on a Budget,카페이트의 예산,Entertainment,엔터테인먼트,25,58,116
10,El Calafate on a Budget,카페이트의 예산,Alcohol,주류,2 - 6,5 - 14,11 - 33
11,El Chalten on a Budget,엘 찰텐의 예산,Accommodation,숙박,24,56,106
11,El Chalten on a Budget,엘 찰텐의 예산,Local Transportation,지역 교통,1,3,5
11,El Chalten on a Budget,엘 찰텐의 예산,Food,음식,3,7,15
11,El Chalten on a Budget,엘 찰텐의 예산,Entertainment,엔터테인먼트,13,30,59
11,El Chalten on a Budget,엘 찰텐의 예산,Alcohol,주류,1 - 4,3 - 10,7 - 21
12,Humahuaca on a Budget,후마 부아카의 예산,Accommodation,숙박,20,48,105
12,Humahuaca on a Budget,후마 부아카의 예산,Local Transportation,지역 교통,2,4,8
12,Humahuaca on a Budget,후마 부아카의 예산,Food,음식,2,5,11
12,Humahuaca on a Budget,후마 부아카의 예산,Entertainment,엔터테인먼트,11,27,59
12,Humahuaca on a Budget,후마 부아카의 예산,Alcohol,주류,1 - 4,3 - 10,7 - 20
13,La Plata on a Budget,라 플라 타의 예산,Accommodation,숙박,23,53,107
13,La Plata on a Budget,라 플라 타의 예산,Local Transportation,지역 교통,2,4,9
13,La Plata on a Budget,라 플라 타의 예산,Food,음식,3,7,14
13,La Plata on a Budget,라 플라 타의 예산,Entertainment,엔터테인먼트,10,24,48
13,La Plata on a Budget,라 플라 타의 예산,Alcohol,주류,1 - 4,3 - 9,7 - 21
14,Mar del Plata on a Budget,마르 델 플라 타의 예산,Accommodation,숙박,20,48,98
14,Mar del Plata on a Budget,마르 델 플라 타의 예산,Local Transportation,지역 교통,1,3,7
14,Mar del Plata on a Budget,마르 델 플라 타의 예산,Food,음식,3,8,15
14,Mar del Plata on a Budget,마르 델 플라 타의 예산,Entertainment,엔터테인먼트,10,23,51
14,Mar del Plata on a Budget,마르 델 플라 타의 예산,Alcohol,주류,2 - 5,4 - 13,11 - 32
15,Mendoza on a Budget,멘도사의 예산,Accommodation,숙박,20,47,97
15,Mendoza on a Budget,멘도사의 예산,Local Transportation,지역 교통,2,5,12
15,Mendoza on a Budget,멘도사의 예산,Food,음식,3,6,14
15,Mendoza on a Budget,멘도사의 예산,Entertainment,엔터테인먼트,11,26,51
15,Mendoza on a Budget,멘도사의 예산,Alcohol,주류,1 - 4,3 - 10,8 - 23
16,Puerto Iguazu on a Budget,푸에르토 이구즈의 예산,Accommodation,숙박,20,45,86
16,Puerto Iguazu on a Budget,푸에르토 이구즈의 예산,Local Transportation,지역 교통,1,3,7
16,Puerto Iguazu on a Budget,푸에르토 이구즈의 예산,Food,음식,3,7,13
16,Puerto Iguazu on a Budget,푸에르토 이구즈의 예산,Entertainment,엔터테인먼트,16,37,71
16,Puerto Iguazu on a Budget,푸에르토 이구즈의 예산,Alcohol,주류,2 - 6,4 - 13,8 - 25
17,Puerto Madryn on a Budget,푸에르토 마드린의 예산,Accommodation,숙박,20,45,86
17,Puerto Madryn on a Budget,푸에르토 마드린의 예산,Local Transportation,지역 교통,1,3,5
17,Puerto Madryn on a Budget,푸에르토 마드린의 예산,Food,음식,4,8,16
17,Puerto Madryn on a Budget,푸에르토 마드린의 예산,Entertainment,엔터테인먼트,22,50,95
17,Puerto Madryn on a Budget,푸에르토 마드린의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 38
18,Rosario on a Budget,로사리오의 예산,Accommodation,숙박,22,52,110
18,Rosario on a Budget,로사리오의 예산,Local Transportation,지역 교통,2,3,7
18,Rosario on a Budget,로사리오의 예산,Food,음식,3,7,15
18,Rosario on a Budget,로사리오의 예산,Entertainment,엔터테인먼트,12,30,73
18,Rosario on a Budget,로사리오의 예산,Alcohol,주류,2 - 5,4 - 13,11 - 32
19,Salta on a Budget,살타의 예산,Accommodation,숙박,15,34,66
19,Salta on a Budget,살타의 예산,Local Transportation,지역 교통,2,3,7
19,Salta on a Budget,살타의 예산,Food,음식,3,6,11
19,Salta on a Budget,살타의 예산,Entertainment,엔터테인먼트,13,30,57
19,Salta on a Budget,살타의 예산,Alcohol,주류,1 - 4,3 - 9,6 - 17
20,San Carlos de Bariloche on a Budget,산카를로스데바릴로체의 예산,Accommodation,숙박,32,78,182
20,San Carlos de Bariloche on a Budget,산카를로스데바릴로체의 예산,Local Transportation,지역 교통,1,3,6
20,San Carlos de Bariloche on a Budget,산카를로스데바릴로체의 예산,Food,음식,3,7,13
20,San Carlos de Bariloche on a Budget,산카를로스데바릴로체의 예산,Entertainment,엔터테인먼트,16,36,75
20,San Carlos de Bariloche on a Budget,산카를로스데바릴로체의 예산,Alcohol,주류,2 - 6,5 - 15,12 - 35
21,San Miguel de Tucuman on a Budget,산 미구엘 데 투쿠르의 예산,Accommodation,숙박,18,42,79
21,San Miguel de Tucuman on a Budget,산 미구엘 데 투쿠르의 예산,Local Transportation,지역 교통,1,3,5
21,San Miguel de Tucuman on a Budget,산 미구엘 데 투쿠르의 예산,Food,음식,3,6,11
21,San Miguel de Tucuman on a Budget,산 미구엘 데 투쿠르의 예산,Entertainment,엔터테인먼트,12,28,54
21,San Miguel de Tucuman on a Budget,산 미구엘 데 투쿠르의 예산,Alcohol,주류,2 - 6,4 - 13,8 - 25
22,Tilcara on a Budget,틸 카라의 예산,Accommodation,숙박,29,70,165
22,Tilcara on a Budget,틸 카라의 예산,Local Transportation,지역 교통,1,3,7
22,Tilcara on a Budget,틸 카라의 예산,Food,음식,4,8,16
22,Tilcara on a Budget,틸 카라의 예산,Entertainment,엔터테인먼트,11,25,48
22,Tilcara on a Budget,틸 카라의 예산,Alcohol,주류,1 - 3,3 - 8,6 - 18
24,Armenia on a Budget,아르메니아의 예산,Accommodation,숙박,5.76,13,25
24,Armenia on a Budget,아르메니아의 예산,Local Transportation,지역 교통,1.23,3.73,13
24,Armenia on a Budget,아르메니아의 예산,Food,음식,9.26,22,44
24,Armenia on a Budget,아르메니아의 예산,Entertainment,엔터테인먼트,0.65,1.71,4.64
24,Armenia on a Budget,아르메니아의 예산,Alcohol,주류,4 - 11,8 - 25,17 - 52
25,Aruba on a Budget,아루바의 예산,Accommodation,숙박,89,209,440
25,Aruba on a Budget,아루바의 예산,Local Transportation,지역 교통,14,32,62
25,Aruba on a Budget,아루바의 예산,Food,음식,46,111,247
25,Aruba on a Budget,아루바의 예산,Entertainment,엔터테인먼트,42,95,179
25,Aruba on a Budget,아루바의 예산,Alcohol,주류,6 - 17,14 - 41,32 - 96
26,Eagle Beach on a Budget,독수리 비치의 예산,Accommodation,숙박,96,227,476
26,Eagle Beach on a Budget,독수리 비치의 예산,Local Transportation,지역 교통,14,33,62
26,Eagle Beach on a Budget,독수리 비치의 예산,Food,음식,49,117,252
26,Eagle Beach on a Budget,독수리 비치의 예산,Entertainment,엔터테인먼트,53,121,237
26,Eagle Beach on a Budget,독수리 비치의 예산,Alcohol,주류,6 - 19,16 - 47,36 - 107
27,Australia on a Budget,호주의 예산,Accommodation,숙박,27,70,191
27,Australia on a Budget,호주의 예산,Local Transportation,지역 교통,11,30,92
27,Australia on a Budget,호주의 예산,Food,음식,23,57,139
27,Australia on a Budget,호주의 예산,Entertainment,엔터테인먼트,12,31,83
27,Australia on a Budget,호주의 예산,Alcohol,주류,3 - 9,7 - 22,17 - 52
28,South Australia on a Budget,South Australia의 예산,Accommodation,숙박,26,63,141
28,South Australia on a Budget,South Australia의 예산,Local Transportation,지역 교통,8,18,42
28,South Australia on a Budget,South Australia의 예산,Food,음식,21,50,110
28,South Australia on a Budget,South Australia의 예산,Entertainment,엔터테인먼트,6,14,26
28,South Australia on a Budget,South Australia의 예산,Alcohol,주류,5 - 14,11 - 33,22 - 66
29,Queensland on a Budget,Queensland의 예산,Accommodation,숙박,"3,249","19,221","111,922"
29,Queensland on a Budget,Queensland의 예산,Local Transportation,지역 교통,449,"2,225","11,901"
29,Queensland on a Budget,Queensland의 예산,Food,음식,"1,003","4,755","24,784"
29,Queensland on a Budget,Queensland의 예산,Entertainment,엔터테인먼트,580,"2,822","14,927"
29,Queensland on a Budget,Queensland의 예산,Alcohol,주류,130 - 391,"634 - 1,901","3,351 - 10,054"
30,Canberra on a Budget,캔버라의 예산,Accommodation,숙박,36,82,155
30,Canberra on a Budget,캔버라의 예산,Local Transportation,지역 교통,11,24,46
30,Canberra on a Budget,캔버라의 예산,Food,음식,26,60,122
30,Canberra on a Budget,캔버라의 예산,Entertainment,엔터테인먼트,8,17,33
30,Canberra on a Budget,캔버라의 예산,Alcohol,주류,3 - 10,8 - 23,15 - 45
31,Northern Territory on a Budget,Northern Territory의 예산,Accommodation,숙박,639,"2,483","11,259"
31,Northern Territory on a Budget,Northern Territory의 예산,Local Transportation,지역 교통,146,693,"3,613"
31,Northern Territory on a Budget,Northern Territory의 예산,Food,음식,264,891,"3,543"
31,Northern Territory on a Budget,Northern Territory의 예산,Entertainment,엔터테인먼트,202,810,"3,762"
31,Northern Territory on a Budget,Northern Territory의 예산,Alcohol,주류,59 - 177,203 - 608,"822 - 2,465"
32,Tasmania on a Budget,Tasmania의 예산,Accommodation,숙박,"2,764","10,179","44,069"
32,Tasmania on a Budget,Tasmania의 예산,Local Transportation,지역 교통,801,"3,202","14,864"
32,Tasmania on a Budget,Tasmania의 예산,Food,음식,"2,725","10,345","46,011"
32,Tasmania on a Budget,Tasmania의 예산,Entertainment,엔터테인먼트,"1,394","5,552","25,692"
32,Tasmania on a Budget,Tasmania의 예산,Alcohol,주류,185 - 554,"707 - 2,120","3,165 - 9,495"
33,Victoria on a Budget,빅토리아의 예산,Accommodation,숙박,678,"3,162","16,321"
33,Victoria on a Budget,빅토리아의 예산,Local Transportation,지역 교통,347,"1,662","8,717"
33,Victoria on a Budget,빅토리아의 예산,Food,음식,800,"3,373","16,290"
33,Victoria on a Budget,빅토리아의 예산,Entertainment,엔터테인먼트,422,"1,851","9,194"
33,Victoria on a Budget,빅토리아의 예산,Alcohol,주류,72 - 215,330 - 990,"1,689 - 5,068"
34,Western Australia on a Budget,Western Australia의 예산,Accommodation,숙박,"1,554","6,958","35,010"
34,Western Australia on a Budget,Western Australia의 예산,Local Transportation,지역 교통,466,"1,995","9,733"
34,Western Australia on a Budget,Western Australia의 예산,Food,음식,845,"4,114","21,772"
34,Western Australia on a Budget,Western Australia의 예산,Entertainment,엔터테인먼트,321,"1,395","6,871"
34,Western Australia on a Budget,Western Australia의 예산,Alcohol,주류,86 - 258,"394 - 1,183","2,011 - 6,034"
35,New South Wales on a Budget,New South Wales의 예산,Accommodation,숙박,30,80,232
35,New South Wales on a Budget,New South Wales의 예산,Local Transportation,지역 교통,9,22,59
35,New South Wales on a Budget,New South Wales의 예산,Food,음식,27,68,172
35,New South Wales on a Budget,New South Wales의 예산,Entertainment,엔터테인먼트,12,29,72
35,New South Wales on a Budget,New South Wales의 예산,Alcohol,주류,3 - 9,7 - 21,15 - 46
36,Austria on a Budget,오스트리아의 예산,Accommodation,숙박,37,95,245
36,Austria on a Budget,오스트리아의 예산,Local Transportation,지역 교통,11,30,79
36,Austria on a Budget,오스트리아의 예산,Food,음식,29,73,175
36,Austria on a Budget,오스트리아의 예산,Entertainment,엔터테인먼트,11,26,61
36,Austria on a Budget,오스트리아의 예산,Alcohol,주류,4 - 12,10 - 30,24 - 72
37,Bad Gastein on a Budget,바트가슈타인의 예산,Accommodation,숙박,32,72,138
37,Bad Gastein on a Budget,바트가슈타인의 예산,Local Transportation,지역 교통,20,47,89
37,Bad Gastein on a Budget,바트가슈타인의 예산,Food,음식,31,70,134
37,Bad Gastein on a Budget,바트가슈타인의 예산,Entertainment,엔터테인먼트,11,25,47
37,Bad Gastein on a Budget,바트가슈타인의 예산,Alcohol,주류,2 - 6,5 - 14,9 - 26
38,Bregenz on a Budget,브레 겐츠의 예산,Accommodation,숙박,34,78,149
38,Bregenz on a Budget,브레 겐츠의 예산,Local Transportation,지역 교통,9,20,38
38,Bregenz on a Budget,브레 겐츠의 예산,Food,음식,37,83,156
38,Bregenz on a Budget,브레 겐츠의 예산,Entertainment,엔터테인먼트,7,17,32
38,Bregenz on a Budget,브레 겐츠의 예산,Alcohol,주류,5 - 14,11 - 32,20 - 61
39,Graz on a Budget,그라즈의 예산,Accommodation,숙박,35,79,148
39,Graz on a Budget,그라즈의 예산,Local Transportation,지역 교통,9,21,39
39,Graz on a Budget,그라즈의 예산,Food,음식,28,66,128
39,Graz on a Budget,그라즈의 예산,Entertainment,엔터테인먼트,7,16,30
39,Graz on a Budget,그라즈의 예산,Alcohol,주류,4 - 12,9 - 28,18 - 53
40,Innsbruck on a Budget,인스 브루크의 예산,Accommodation,숙박,38,89,181
40,Innsbruck on a Budget,인스 브루크의 예산,Local Transportation,지역 교통,8,18,34
40,Innsbruck on a Budget,인스 브루크의 예산,Food,음식,34,81,172
40,Innsbruck on a Budget,인스 브루크의 예산,Entertainment,엔터테인먼트,10,23,47
40,Innsbruck on a Budget,인스 브루크의 예산,Alcohol,주류,5 - 14,11 - 34,24 - 72
41,Kitzbuhel on a Budget,키츠뷔엘의 예산,Accommodation,숙박,46,104,199
41,Kitzbuhel on a Budget,키츠뷔엘의 예산,Local Transportation,지역 교통,35,80,153
41,Kitzbuhel on a Budget,키츠뷔엘의 예산,Food,음식,42,97,185
41,Kitzbuhel on a Budget,키츠뷔엘의 예산,Entertainment,엔터테인먼트,17,40,76
41,Kitzbuhel on a Budget,키츠뷔엘의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 38
42,Linz on a Budget,린츠의 예산,Accommodation,숙박,30,68,129
42,Linz on a Budget,린츠의 예산,Local Transportation,지역 교통,21,49,93
42,Linz on a Budget,린츠의 예산,Food,음식,28,64,124
42,Linz on a Budget,린츠의 예산,Entertainment,엔터테인먼트,7,16,30
42,Linz on a Budget,린츠의 예산,Alcohol,주류,4 - 12,9 - 28,17 - 52
43,Salzburg on a Budget,잘츠부르크의 예산,Accommodation,숙박,45,107,236
43,Salzburg on a Budget,잘츠부르크의 예산,Local Transportation,지역 교통,9,23,52
43,Salzburg on a Budget,잘츠부르크의 예산,Food,음식,34,84,194
43,Salzburg on a Budget,잘츠부르크의 예산,Entertainment,엔터테인먼트,14,35,78
43,Salzburg on a Budget,잘츠부르크의 예산,Alcohol,주류,6 - 19,15 - 46,35 - 104
44,Vienna on a Budget,비엔나의 예산,Accommodation,숙박,41,110,311
44,Vienna on a Budget,비엔나의 예산,Local Transportation,지역 교통,8,22,59
44,Vienna on a Budget,비엔나의 예산,Food,음식,27,67,167
44,Vienna on a Budget,비엔나의 예산,Entertainment,엔터테인먼트,18,45,114
44,Vienna on a Budget,비엔나의 예산,Alcohol,주류,4 - 12,10 - 30,26 - 79
45,Villach on a Budget,필라흐의 예산,Accommodation,숙박,35,80,153
45,Villach on a Budget,필라흐의 예산,Local Transportation,지역 교통,9,21,39
45,Villach on a Budget,필라흐의 예산,Food,음식,31,71,136
45,Villach on a Budget,필라흐의 예산,Entertainment,엔터테인먼트,8,18,34
45,Villach on a Budget,필라흐의 예산,Alcohol,주류,3 - 10,8 - 24,15 - 45
46,Azerbaijan on a Budget,아제르바이잔의 예산,Accommodation,숙박,0.00,0.00,0.00
46,Azerbaijan on a Budget,아제르바이잔의 예산,Local Transportation,지역 교통,0.00,0.00,0.00
46,Azerbaijan on a Budget,아제르바이잔의 예산,Food,음식,0.00,0.00,0.00
46,Azerbaijan on a Budget,아제르바이잔의 예산,Entertainment,엔터테인먼트,0.00,0.00,0.00
46,Azerbaijan on a Budget,아제르바이잔의 예산,Alcohol,주류,0 - 0,0 - 0,0 - 0
47,the Bahamas on a Budget,the Bahamas의 예산,Accommodation,숙박,53,124,245
47,the Bahamas on a Budget,the Bahamas의 예산,Local Transportation,지역 교통,17,39,85
47,the Bahamas on a Budget,the Bahamas의 예산,Food,음식,41,92,175
47,the Bahamas on a Budget,the Bahamas의 예산,Entertainment,엔터테인먼트,15,38,91
47,the Bahamas on a Budget,the Bahamas의 예산,Alcohol,주류,5 - 16,13 - 39,29 - 86
48,Freeport on a Budget,프리 포트의 예산,Accommodation,숙박,61,141,273
48,Freeport on a Budget,프리 포트의 예산,Local Transportation,지역 교통,26,59,115
48,Freeport on a Budget,프리 포트의 예산,Food,음식,48,110,216
48,Freeport on a Budget,프리 포트의 예산,Entertainment,엔터테인먼트,18,40,77
48,Freeport on a Budget,프리 포트의 예산,Alcohol,주류,7 - 20,15 - 46,30 - 90
49,Nassau on a Budget,나소의 예산,Accommodation,숙박,45,108,240
49,Nassau on a Budget,나소의 예산,Local Transportation,지역 교통,14,32,72
49,Nassau on a Budget,나소의 예산,Food,음식,40,91,165
49,Nassau on a Budget,나소의 예산,Entertainment,엔터테인먼트,14,37,95
49,Nassau on a Budget,나소의 예산,Alcohol,주류,4 - 12,9 - 28,19 - 58
50,Bahrain on a Budget,바레인의 예산,Accommodation,숙박,29,66,127
50,Bahrain on a Budget,바레인의 예산,Local Transportation,지역 교통,13,30,58
50,Bahrain on a Budget,바레인의 예산,Food,음식,41,93,169
50,Bahrain on a Budget,바레인의 예산,Entertainment,엔터테인먼트,15,34,65
50,Bahrain on a Budget,바레인의 예산,Alcohol,주류,2 - 7,6 - 17,11 - 33
51,Bangladesh on a Budget,방글라데시의 예산,Accommodation,숙박,12,28,53
51,Bangladesh on a Budget,방글라데시의 예산,Local Transportation,지역 교통,2.57,5.88,11
51,Bangladesh on a Budget,방글라데시의 예산,Food,음식,8.49,19,37
51,Bangladesh on a Budget,방글라데시의 예산,Entertainment,엔터테인먼트,6.44,15,28
51,Bangladesh on a Budget,방글라데시의 예산,Alcohol,주류,2 - 6,5 - 14,9 - 26
52,Barbados on a Budget,바베이도스의 예산,Accommodation,숙박,94,236,588
52,Barbados on a Budget,바베이도스의 예산,Local Transportation,지역 교통,13,31,68
52,Barbados on a Budget,바베이도스의 예산,Food,음식,64,158,377
52,Barbados on a Budget,바베이도스의 예산,Entertainment,엔터테인먼트,42,106,264
52,Barbados on a Budget,바베이도스의 예산,Alcohol,주류,5 - 16,13 - 39,30 - 90
53,Belarus on a Budget,벨라루스의 예산,Accommodation,숙박,11,26,59
53,Belarus on a Budget,벨라루스의 예산,Local Transportation,지역 교통,3.98,11,30
53,Belarus on a Budget,벨라루스의 예산,Food,음식,11,27,66
53,Belarus on a Budget,벨라루스의 예산,Entertainment,엔터테인먼트,8.19,19,36
53,Belarus on a Budget,벨라루스의 예산,Alcohol,주류,2 - 7,6 - 18,13 - 40
54,Minsk on a Budget,민스크의 예산,Accommodation,숙박,13,31,57
54,Minsk on a Budget,민스크의 예산,Local Transportation,지역 교통,4,11,30
54,Minsk on a Budget,민스크의 예산,Food,음식,15,35,64
54,Minsk on a Budget,민스크의 예산,Entertainment,엔터테인먼트,8,19,36
54,Minsk on a Budget,민스크의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 40
55,Belgium on a Budget,벨기에의 예산,Accommodation,숙박,34,83,185
55,Belgium on a Budget,벨기에의 예산,Local Transportation,지역 교통,8.54,20,44
55,Belgium on a Budget,벨기에의 예산,Food,음식,33,82,203
55,Belgium on a Budget,벨기에의 예산,Entertainment,엔터테인먼트,8.88,23,59
55,Belgium on a Budget,벨기에의 예산,Alcohol,주류,4 - 12,10 - 29,22 - 66
56,Flanders on a Budget,Flanders의 예산,Accommodation,숙박,34,80,175
56,Flanders on a Budget,Flanders의 예산,Local Transportation,지역 교통,11,26,63
56,Flanders on a Budget,Flanders의 예산,Food,음식,33,77,158
56,Flanders on a Budget,Flanders의 예산,Entertainment,엔터테인먼트,7,18,43
56,Flanders on a Budget,Flanders의 예산,Alcohol,주류,4 - 13,11 - 32,26 - 78
57,Brussels on a Budget,브뤼셀의 예산,Accommodation,숙박,35,85,196
57,Brussels on a Budget,브뤼셀의 예산,Local Transportation,지역 교통,8,19,45
57,Brussels on a Budget,브뤼셀의 예산,Food,음식,30,77,208
57,Brussels on a Budget,브뤼셀의 예산,Entertainment,엔터테인먼트,10,27,71
57,Brussels on a Budget,브뤼셀의 예산,Alcohol,주류,3 - 10,8 - 23,17 - 51
58,Belize on a Budget,벨리즈의 예산,Accommodation,숙박,17,46,133
58,Belize on a Budget,벨리즈의 예산,Local Transportation,지역 교통,7.95,21,59
58,Belize on a Budget,벨리즈의 예산,Food,음식,19,47,111
58,Belize on a Budget,벨리즈의 예산,Entertainment,엔터테인먼트,13,34,90
58,Belize on a Budget,벨리즈의 예산,Alcohol,주류,3 - 9,7 - 22,16 - 47
59,Belize City on a Budget,벨리즈 시티의 예산,Accommodation,숙박,18,49,149
59,Belize City on a Budget,벨리즈 시티의 예산,Local Transportation,지역 교통,2,6,14
59,Belize City on a Budget,벨리즈 시티의 예산,Food,음식,20,47,93
59,Belize City on a Budget,벨리즈 시티의 예산,Entertainment,엔터테인먼트,11,29,80
59,Belize City on a Budget,벨리즈 시티의 예산,Alcohol,주류,3 - 8,6 - 18,12 - 37
60,San Ignacio on a Budget,산 이그나시오의 예산,Accommodation,숙박,9,19,30
60,San Ignacio on a Budget,산 이그나시오의 예산,Local Transportation,지역 교통,3,3,3
60,San Ignacio on a Budget,산 이그나시오의 예산,Food,음식,15,36,80
60,San Ignacio on a Budget,산 이그나시오의 예산,Entertainment,엔터테인먼트,45,100,178
60,San Ignacio on a Budget,산 이그나시오의 예산,Alcohol,주류,7 - 21,9 - 26,12 - 35
61,San Pedro on a Budget,산 페드로의 예산,Accommodation,숙박,29,66,133
61,San Pedro on a Budget,산 페드로의 예산,Local Transportation,지역 교통,15,34,65
61,San Pedro on a Budget,산 페드로의 예산,Food,음식,30,69,131
61,San Pedro on a Budget,산 페드로의 예산,Entertainment,엔터테인먼트,14,33,68
61,San Pedro on a Budget,산 페드로의 예산,Alcohol,주류,3 - 10,8 - 24,16 - 48
62,Bermuda on a Budget,버뮤다의 예산,Accommodation,숙박,62,144,293
62,Bermuda on a Budget,버뮤다의 예산,Local Transportation,지역 교통,15,34,64
62,Bermuda on a Budget,버뮤다의 예산,Food,음식,49,112,217
62,Bermuda on a Budget,버뮤다의 예산,Entertainment,엔터테인먼트,17,40,76
62,Bermuda on a Budget,버뮤다의 예산,Alcohol,주류,8 - 23,17 - 51,33 - 98
63,Warwick Parish on a Budget,워릭 교구의 예산,Accommodation,숙박,62,144,293
63,Warwick Parish on a Budget,워릭 교구의 예산,Local Transportation,지역 교통,15,34,64
63,Warwick Parish on a Budget,워릭 교구의 예산,Food,음식,51,118,227
63,Warwick Parish on a Budget,워릭 교구의 예산,Entertainment,엔터테인먼트,17,40,76
63,Warwick Parish on a Budget,워릭 교구의 예산,Alcohol,주류,8 - 23,17 - 51,33 - 98
64,Bhutan on a Budget,부탄의 예산,Accommodation,숙박,14,31,60
64,Bhutan on a Budget,부탄의 예산,Local Transportation,지역 교통,12,27,51
64,Bhutan on a Budget,부탄의 예산,Food,음식,20,47,89
64,Bhutan on a Budget,부탄의 예산,Entertainment,엔터테인먼트,9.77,22,43
65,Bolivia on a Budget,볼리비아의 예산,Accommodation,숙박,6.61,16,40
65,Bolivia on a Budget,볼리비아의 예산,Local Transportation,지역 교통,4.25,11,33
65,Bolivia on a Budget,볼리비아의 예산,Food,음식,11,27,64
65,Bolivia on a Budget,볼리비아의 예산,Entertainment,엔터테인먼트,7.24,18,46
65,Bolivia on a Budget,볼리비아의 예산,Alcohol,주류,2 - 7,6 - 17,13 - 40
